es_id,study_id,reference,exposure_class,comparator_type,yi,vi,sei,ni,es_source,study_design,care_context,adjusted,use_in_primary
14,Brown2020,Brown 2020,tetracycline,no_antibiotic,0.0583,0.0265,0.1627,,reported_unadjusted,other,mixed,False,No
15,Brown2020,Brown 2020,tetracycline,no_antibiotic,-0.0619,0.0186,0.1365,,reported_adjusted,other,mixed,True,Maybe
16,Carmichael2023,Carmichael 2023,doxycycline,reference_category,-0.0619,0.0007,0.0272,50861011,reported_adjusted,retrospective_cohort,mixed,True,Yes
17,Chalmers2016,Chalmers 2016,doxycycline,reference_category,0.1235,0.5364,0.7324,1883,two_by_two,prospective_cohort,HA,False,Maybe
18,Cui2023,Cui 2023,tetracycline_class,no_antibiotic,2.6892,1.1456,1.0703,222,two_by_two,case_control,HA,False,No
19,Cui2023,Cui 2023,tetracycline_class,reference_category,3.1117,1.2792,1.131,222,reported_adjusted,case_control,HA,True,Maybe
20,Delaney2007,Delaney 2007,tetracycline_class,no_antibiotic,-0.1054,0.0785,0.2803,13563,reported_adjusted,matched_case_control,CA,True,Yes
21,Dial2008,Dial 2008,tetracycline_class,no_antibiotic,0.0953,1.2912,1.1363,,reported_adjusted,matched_case_control,CA,True,Yes
22,Doernberg2012,Doernberg 2012,doxycycline,specific_comparator,-1.2379,0.2464,0.4964,2734,reported_adjusted,retrospective_cohort,mixed,True,No
23,Doernberg2012,Doernberg 2012,doxycycline,specific_comparator,-0.3147,0.0189,0.1375,2734,reported_adjusted,retrospective_cohort,mixed,True,Yes
24,GrecoKinney2023,Greco Kinney 2023,doxycycline,specific_comparator,-0.3091,4.0273,2.0068,149,two_by_two_cc,prospective_cohort,HA,False,No
25,Guh2015,Guh 2015,tetracycline,no_antibiotic,0.0,0.5624,0.75,452,reported_matched,matched_case_control,CA,False,Yes
26,Ito2025,Ito 2025,minocycline,specific_comparator,-0.7906,2.7235,1.6503,72,two_by_two_cc,retrospective_cohort,HA,False,Maybe
27,John2018,John 2018,doxycycline,specific_comparator,-1.8971,0.6743,0.8211,1064,reported_unadjusted,retrospective_cohort,mixed,False,Maybe
28,Kuntz2011,Kuntz 2011,tetracycline_class,no_antibiotic,0.3577,0.1074,0.3277,3344,reported_unadjusted,nested_case_control,CA,False,No
29,Kuntz2011,Kuntz 2011,tetracycline_class,reference_category,-0.0619,0.1577,0.3972,3344,reported_adjusted,nested_case_control,CA,True,Yes
30,Levy2000,Levy 2000,doxycycline,specific_comparator,-1.0986,2.3179,1.5225,45,two_by_two_cc,nested_case_control,CA,False,No
31,Levy2000,Levy 2000,minocycline,specific_comparator,0.3677,2.8308,1.6825,40,two_by_two_cc,nested_case_control,CA,False,No
32,Levy2000,Levy 2000,tetracycline,specific_comparator,-0.1054,1.8689,1.3671,176,reported_adjusted,nested_case_control,CA,True,Maybe
33,Liu2024,Liu 2024,tigecycline,specific_comparator,-2.3026,1.337,1.1563,25931,reported_unadjusted,other,mixed,False,Maybe
34,Liu2024,Liu 2024,tigecycline,specific_comparator,-2.1203,0.9263,0.9624,25931,reported_unadjusted,other,mixed,False,No
35,Miller2023,Miller 2023,doxycycline,reference_category,-0.0408,0.0012,0.0348,956424,reported_adjusted,matched_case_control,CA,True,Yes
36,Miller2023,Miller 2023,minocycline,reference_category,-0.2357,0.007,0.0836,956424,reported_adjusted,matched_case_control,CA,True,No
37,Miller2023,Miller 2023,tetracycline,reference_category,0.1906,0.0199,0.1412,956424,reported_adjusted,matched_case_control,CA,True,No
38,OLeary2023,O'Leary 2023,doxycycline,specific_comparator,-0.1863,0.0078,0.0884,156107,reported_adjusted,retrospective_cohort,HA,True,Yes
39,OLeary2023,O'Leary 2023,doxycycline,specific_comparator,-0.1278,0.0086,0.0927,156107,reported_adjusted,retrospective_cohort,HA,True,No
40,OLeary2023,O'Leary 2023,doxycycline,specific_comparator,-0.5978,0.0755,0.2747,156107,reported_adjusted,retrospective_cohort,HA,True,No
41,Predrag2016,Predrag 2016,tetracycline_class,no_antibiotic,0.3019,0.876,0.9359,111,two_by_two,matched_case_control,HA,False,Yes
42,Predrag2016,Predrag 2016,doxycycline,no_antibiotic,0.0,1.5417,1.2416,111,two_by_two,matched_case_control,HA,False,No
43,Predrag2016,Predrag 2016,tetracycline,no_antibiotic,0.7069,2.0415,1.4288,111,two_by_two,matched_case_control,HA,False,No
44,Reeves2024,Reeves 2024,doxycycline,other_antibiotics,0.2989,2.1017,1.4497,4685,two_by_two_cc,retrospective_cohort,HA,False,Maybe
45,Saito2025,Saito 2025,tetracycline_class,reference_category,1.0886,0.0103,0.1013,24585,reported_adjusted,nested_case_control,mixed,True,Yes
46,Stojanovic2022,Stojanović 2022,tetracycline_class,no_antibiotic,1.8596,0.2396,0.4895,279,reported_unadjusted,matched_case_control,CA,False,Maybe
47,Stojanovic2022,Stojanović 2022,tetracycline_class,reference_category,-1.9241,0.0853,0.2921,279,reported_adjusted,matched_case_control,CA,True,No
48,Stojanovic2022,Stojanović 2022,doxycycline,no_antibiotic,1.8089,0.3586,0.5988,279,two_by_two,matched_case_control,CA,False,No
49,Stojanovic2022,Stojanović 2022,tetracycline,no_antibiotic,1.8476,0.6836,0.8268,279,two_by_two,matched_case_control,CA,False,No
50,Strom2017,Ström 2017,tetracycline,no_antibiotic,-0.5108,0.5437,0.7373,584,reported_unadjusted,matched_case_control,mixed,False,Yes
51,Tartof2015,Tartof 2015,tetracycline_class,no_antibiotic,-0.1792,0.0197,0.1405,401234,two_by_two,retrospective_cohort,HA,False,Yes
52,Teng2019,Teng 2019,tetracycline_class,other_antibiotics,2.0202,0.0285,0.1687,2042801,reported_unadjusted,other,mixed,False,No
53,Tilton2019,Tilton 2019,doxycycline,no_antibiotic,-0.2731,0.2757,0.5251,200,two_by_two,matched_case_control,HA,False,Yes
54,Wang2020,Wang 2020,tetracycline,no_antibiotic,0.636,0.681,0.8252,163,two_by_two,prospective_cohort,HA,False,Maybe
55,Watson2018,Watson 2018,tetracycline_class,reference_category,-0.9339,0.0167,0.1291,1237537,reported_adjusted,retrospective_cohort,HA,True,Yes
56,Webb2020,Webb 2020,doxycycline,reference_category,-0.5108,0.0943,0.3071,506068,reported_adjusted,retrospective_cohort,HA,True,Yes
57,Webb2020,Webb 2020,doxycycline,reference_category,-0.6931,0.0626,0.2502,506068,reported_adjusted,retrospective_cohort,HA,True,No
58,Young2019,Young 2019,tetracycline_class,reference_category,-0.5447,0.0043,0.0658,85451,reported_adjusted,case_control,mixed,True,Maybe
59,Yu2021,Yu 2021,tetracycline,no_antibiotic,1.0647,0.1584,0.398,1443,reported_unadjusted,matched_case_control,HA,False,Yes
